value,scenario,label
benevolence,Strength is a burden,-1
conformity,"My neighbour is annoying, but she's an easy lay.",-1
benevolence,not wanting to give up my dog,1
hedonism,Hilarious on the spot joke.,1
tradition,My Valentines day tradition,1
universalism,completely withdrawing from my group of friends,-1
hedonism,I can't be happy for anyone else...,-1
security,being mad at my friends family for changing their plans last minute,-1
tradition,being uncomfortable with my dad's insistence regarding religion in our household,-1
stimulation,I'm not inviting my friend to one of my events...,-1
security,Ending my life today and can't get over the guilt of hurting my sisters,-1
tradition,Flags Draped on Caskets Are to Be Treated With Respect,1
hedonism,"All i really want, is to celebrate halloween.",1
conformity,"I tried to avoid her, but I would still run into her now and again.",-1
stimulation,"I witnessed a psychiatrist swearing at and name calling a patient, I was shocked and told my coordinator. Going to work is miserable now... I kind of wish I had kept my mouth shut.",-1
conformity,getting banned from a Discord server for *starting a riot,-1
tradition,not taking a day off so my gf can go on a trip,-1
power,making my brother end his toxic relationship,1
achievement,"going to meet with a female friend, after having just organised a date with another friend",-1
universalism,I have a family member that is dying and I'm happy about it,-1
security,"I cost the insurance company I worked for over $60,000 in the last month and today was my last day.",-1
security,not covering shifts at work,-1
hedonism,making fun of a coworker for continually messing up at work,1
benevolence,"After I got off from work, I went to vote at my assigned location.",1
benevolence,asking my boyfriend to pay off my car loan or buy me a new car after he totaled mine,-1
stimulation,I always feel the need to be productive,1
power,confronting our roommate about having her male guest stay over? I mean I just came home at 3:00am to see a strange man sleeping in my living room,1
power,i’m an egalitarian and i believe females are inferior to men,1
conformity,wanting to sleep in the same bed as my fiancée,-1
security,I wish I would've never gone to college.,-1
tradition,Salute to Our Flag Is Also Salute to All Who Served,1
universalism,wanting to fight people who flirt with my fiance,-1
benevolence,contacting my ex to check in on her after she promised she wouldn't ghost,-1
tradition,I've been peeing in the sink for months.,-1
stimulation,I don’t care if this is gross. I want there to be peanut butter flavored Pringles.,-1
universalism,being annoyed at my manager for not understanding how much my pets mean to me,1
security,The LGBTBBQ community is destroying America,-1
power,I Am A True Alpha Male,1
benevolence,wanting to take my 3-year-old on a 7-hour round trip to visit my boyfriend's mom for her birthday,1
security,I broke up with my boyfriend of three years because I hate myself.,-1
power,just slammed a dude to the floor and grabbed his Gopro.,-1
hedonism,I secretly enjoyed hurting my friend emotionally after we hooked up and almost dated,1
stimulation,being angry with my brother for planning a trip the same weekend as mine,-1
tradition,not giving my grandma her ex husband's ashes,-1
security,faking an emergency in order to leave my friends house shortly after arriving to spend the weekend with her,-1
benevolence,Psychopathic tendencies in myself,-1
universalism,I say thank you as much as I can at Chick-fil-A.,1
benevolence,not wanting to go to College against my Father's wishes,-1
conformity,not wanting to be my sister's surrogate after she was my caregiver,-1
conformity,demanding some space from my mom,-1
power,I once backed into a police car and started freaking out before realizing that there was no one in it and driving off,-1
hedonism,Im contented with my life but at the same time resent it,-1
conformity,"Any candidate who is pro-reparations should be immediately dismissed. There is absolutely no reason broke, unemployed, losers should get taxpayer money because they “claim” they are descendants of slaves.",-1
universalism,yelling back at a stranger who upset my gf,-1
security,reporting an ex-friend for neglecting her child,1
hedonism,I have had athletes foot since I was 10. I like it and eat the peeled skin.,1
conformity,Im a bad person,-1
conformity,not wanting my MIL to move in with us to get weight loss surgery she got denied for in Puerto Rico,-1
power,messing up ground rules with MIL,-1
hedonism,I continue to meet women at random - addicted to it,1
security,walking out of Thanksgiving dinner after my family went out of the way for me. it was a disaster,-1
conformity,not wanting to hold babies,-1
stimulation,getting upset at my roommate over disputes of shared space,-1
self-direction,i stole this guys cat bc he wasnt treating him right,1
benevolence,not inviting my in-laws for Christmas,-1
conformity,thinking my gf is overreacting about me looking at old friend's profiles on Facebook,-1
hedonism,telling my girlfriend Im not interested in our relationship because of lack of sex,-1
security,freaking out on a guy at the gym who insulted my socially anxious girlfriend,-1
conformity,I feel like I'm infinitely regressing,-1
hedonism,I hate going to college but I do it to make my parents happy and I havent told them that,-1
conformity,not appreciating my mom,-1
achievement,I've gotten so mad that I had a outer body experience.,-1
benevolence,being annoyed at a friend for making bad decisions,-1
hedonism,"most fun, bubbly person you may know, but truth is I'm slowly dying on the inside",-1
conformity,getting a guy and his two kids kicked out of the dog park,-1
stimulation,I haven’t been to school in about 4-5 years and I’m scared I won’t know how to talk to people.,-1
stimulation,He decided he had to make changes to feel better.,1
conformity,not sharing my writing with my husband,-1
benevolence,I asked my girlfriend to marry me last night.,1
tradition,I'm glad I had my abortion.,-1
conformity,I live my life like there’s no tomorrow and all I’ve got I had to steal,-1
universalism,"I have a fetish with protecting and taking care of a physically weaker, frail, male partner",-1
benevolence,not wanting to speak to or even look at my dad,-1
security,telling my teacher(indirectly) I find her class boring,1
conformity,"telling my work with all due respect, fire me then",-1
stimulation,I went to my internist who then confirmed I had high cholesterol.,1
benevolence,"I stole a lot of money from my parents when I was younger, so now I am slowly repaying them by leaving cash in thier belongings.",1
benevolence,Over Christmas break I slept with my parent's neighbor once a day for 3 days in a row.,1
security,"My girlfriend is in some sort of pain I just can't help, and I feel really bad about it.",1
conformity,getting snappy with the front desk,-1
conformity,telling an anxious friend to be respectful,-1
security,outing my best friend's cheating (now ex-) girlfriend in public,-1
power,trying to set boundaries with my toxic sister in law who has stirred up so much drama that resulted in not being invited to my wedding,1
stimulation,I'm flying to South Korea for two weeks and I'm nervous.,-1
benevolence,bringing up my mom's bad driving skills,-1
power,I’ve been taking my husbands debit card,1
hedonism,My friend and I did a double team on my girlfriend,1
conformity,I’m obsessed with my close online friend and my emotional behavior is wrecking our 3 year friendship,-1
stimulation,changing who I sit with and ditching my friend,-1
power,I would never leave a “abusive” relationship,-1
universalism,Power to Make a Choice Is Every Woman's Right,1
tradition,I farted cake at a blind nun.,-1
security,I'm a big-time thief.,-1
universalism,being annoyed at my friend for always complaining about their life,-1
security,Bi in a relationship,-1
universalism,glancing at my girlfriend to see her opinion on something,1
universalism,When people I know don’t follow me back on Instagram—I go unfollow them.,-1
achievement,writing a script my way,1
power,locking my room while on vacation,1
achievement,"I can afford to pay off my student loans right now, but I’m not going to, don’t want to miss out on a potential bailout all the freeloaders are waiting for.",1
power,Ten Commandments Provide Powerful Words to Live By,1
hedonism,Is it bad that I'm happy my older sister and her kids moved out?,1
security,My wife has been cleaning all day (I am disabled).,1
hedonism,I don't enjoy New Year crab.,-1
stimulation,I have no desire to do anything with my life,-1
benevolence,I Helped Some Kids Pull off a Prank,-1
conformity,treating bad my 1 and half YO sister,-1
conformity,not wanting to be around my sister n laws boyfriend,-1
universalism,being upset and then ending things with my girlfriend over what she posted on Instagram,-1
benevolence,making a complaint to a friend who was already annoyed,-1
benevolence,telling my aunt (essentially the side chick of twenty years) that her baby daddy doesn't love her,-1
conformity,calling my dad disgusting after he found a new girlfriend a month after my mom's death,-1
security,"telling a friend, that I don't really like talking with them anymore",-1
hedonism,I haven't been laid in six years,-1
tradition,calling their religious beliefs ridiculous,-1
benevolence,letting a decade long friendship end over a disagreement about racism,-1
conformity,yelling at my aunt for telling my family I was in therapy,-1
achievement,Self-sabotaging my own success,-1
security,I use my company's corporate credit card points on Amazon.,-1
power,wanting my bf to move on with job offer that's taking forever,1
benevolence,"demanding my gf, who has never lived on her own, to live on her own first before I move in with her",-1
hedonism,I have never seen the movie Princess Bride,-1
benevolence,telling off my parents over my law school acceptances,-1
hedonism,Climbing a rope or poll caused intense sensations in my pants,1
security,All I want for Christmas is to be away from my family.,-1
stimulation,I've been nervous lately,-1
conformity,I don't even know if this counts as molestation?,-1
security,fighting with my partner over scrounger sister,-1
achievement,feeling like my stag was a complete let down,-1
universalism,I don't wanna live anymore,-1
achievement,I cheat on tests and exams and completely get away with it.,-1
security,not wanting to babysit my nephew,1
benevolence,My dad hates me and I honestly miss him.,1
tradition,triggering one of my school's office staff,-1
achievement,I am terrified of applying for jobs that would challenge me,-1
power,I’m 26 years old and I successfully whistled for the first time today. I’m so much more proud of myself than the accomplishment deserves.,1
security,My family thinks I'm not trying but I'm trying my hardest,1
security,Just took a dump in a public bathroom,-1
benevolence,I clitorectomied my daughter and I do not regret it,-1
hedonism,wanting to play soccer,1
hedonism,I hate a lot of my coworkers,-1
stimulation,I throw out all the clothes my ex buys our child.,-1
security,not sharing my food with my family,-1
conformity,calling out my professor on his grading habits,-1
security,wanting to chew out our cleaning ladies for throwing out my $200,-1
tradition,kicking an older guy out of my apartment,-1
security,"I work in international charity, saving kids",1
universalism,i don't want to reactivate social media or start a relationship until i'm skinny,-1
security,I just masturbated in my office bathroom,-1
universalism,blocking my friend of 4 years on FB for a transphobic meme,-1
tradition,scheduling my wedding date for the same day as my adult niece's birthday,-1
stimulation,We decided to go to a buffet so we both were happy.,1
security,letting my mother rot away in her home,-1
stimulation,asking my ex girlfriend for her cousins phone number,1
benevolence,I wish death upon people who wrong me,-1
tradition,losing my temper at my dad,-1
benevolence,Another reason why I can't stand white parents,-1
power,not moving my car after lady threatened me to go see the cops,1
security,"I have 4 small children and I am disabled. We are surviving without electricity because I can't afford it. I wish there was someone in this world that have a care. Im at my breaking point. I don't know what to do,its getting to hard for us.",1
power,"I'm forced to go to church. So ive been getting high, and it's amazing.",-1
conformity,I secretly encourage my tween daughter to dress and act slutty because I want to live vicariously through her experiences.,-1
achievement,I had heard great reviews of their soup.,1
benevolence,trying to help a friend with a girl,1
hedonism,telling my boyfriend he needs to go see a doctor because he asked me to get blackout drunk so he could have sex with me while I'm passed out,1
universalism,telling my roommate's friend to shut up,-1
security,wanting a seizure dog and the ability to drive,1
benevolence,trying to help my friend who thought she was pregnant,1
benevolence,"I was sad, so I told my parents.",1
benevolence,refusing to lie to my parents,1
tradition,insulting my family,-1
benevolence,I've been crying significantly more frequently at the end of movies and tv series.,1
universalism,wanting to go to a wedding,1
conformity,complaining about a fellow student to our course leader,-1
stimulation,I refuse to socialize and be seen in public anymore after gaining weight,-1
achievement,The difference a year can make,1
security,not continuing to help my ex through his abuse,1
hedonism,i just masterbated at work,1
conformity,When i urinate i flush before im done and try to finish before the water goes down.,-1
benevolence,divorcing my wife even though I know we love each other,-1
benevolence,My brother’s friends harassed me as a little girl,-1
universalism,not wanting to hand out religious themed Christmas cards at work,-1
conformity,telling the bosses about petty behavior at work,-1
hedonism,My husband plays Eve Online... I pulled a joke today that was mean,1
stimulation,I have been using Tinder all year and i still haven't had a single match up,-1
benevolence,not wanting a relationship with my biological father,-1
security,buying my sister an album in exchange for house work and now she wouldn't hold up her end,-1
security,yelling at my sons teacher and tell him to leave my son tf alone in front of his classmates,-1
benevolence,threatening to end a friendship over anti-vaccination,-1
tradition,I stole a single strawberry,-1
stimulation,wanting my bf to participate in family events,1
benevolence,I Just Gave My Daughter The BIGGEST Hug After School Today,1
conformity,never wanting to be cuddly with my fiance,-1
universalism,wanting to unfriend my ex-boyfriends current girlfriend on Facebook,-1
hedonism,"Everyone in my theatre department hates doing Annie, but I honestly think it's kind of fun.",1
stimulation,I'm excited for the new season of hells kitchen,1
achievement,inviting other friends onto a project I originally created with someone else,1
conformity,leaving a meeting when the conversation derails into banter,-1
benevolence,Accurate Medical History Can Help Save Your Life,1
security,Cheated on my girlfriend of 6 years,-1
conformity,getting upset with customer service,-1
tradition,"arguing with people, who believe in god",-1
hedonism,"The pressures and uncertainty of what I was going to do with my life made my time at college unbearable. I was suicidal for almost two years and I nearly acted on it a few months before graduation. Now that I’m out, I am much happier and life feels worth living for the first time in years.",-1
benevolence,I hate my MIL because a psychic told me that my MIL is jealous of my relationship with my husband.,-1
power,I've been dating a really nice guy for over two months. He has no idea I'm a sugarbaby to a wealthy older man.,1
conformity,calling my sister out for procrastinating,-1
achievement,Feeling depressed and frustrated with myself,-1
security,wanting to get a young family evicted from my apartment complex,-1
conformity,Mutual love - my friend’s girlfriend and I,-1
benevolence,talking with friends about a common friend groping me,-1
security,I cheated and won something at work.,-1
benevolence,being upset my mum won't babysit if I want to do something for me and have fun,-1
benevolence,My friend and I told the school a kid was suicidal,1
universalism,Husband's Luddite Attitude Puts a Heavy Burden on Wife,-1
security,"I honestly can’t wait for the day I never have to go to family gatherings anymore They’re not bad people but I have nothing in common with any of them, so I sit there awkwardly not saying anything and then everyone asks me why I’m so quiet or a bunch of random question I don’t have good answered for",-1
benevolence,I sometimes want to end it just to prove it,-1
power,"I'm a self-made millionaire who drives a beat-up 2004 car, rents, eats peanut butter for dinner and shops at Walmart",1
hedonism,I actually enjoy pooping on warm public toilet seats,1
security,not wanting my roommates girlfriend to stay rent-free,1
conformity,having an outburst at a family member,-1
security,getting angry at my girlfriend for not being able to make and take phone calls,-1
universalism,blocking my sister on Facebook,-1
conformity,I’m so sick of people on here getting butthurt for literally no reason.,-1
tradition,kicking a lady out of my post at night,-1
benevolence,not wanting my girlfriend's brother to move into our house and live with us,-1
hedonism,id go down on this guy in a heartbeat if he asked,1
benevolence,not contributing much for my event preparations because I have to be at home for my mother's chemotherapy which in turn got me ostrasied by my club members,1
tradition,not taking my fiance seriously,-1
benevolence,I wanted to find a way to repay her.,1
security,I'm under qualified and lazy,-1
tradition,I think circumcision is the reason Moslem men are so violent,-1
stimulation,not wanting to try a new food when I'm at a restaurant with my mom,-1
stimulation,not telling my in laws that we are selling our condo and full time rving,1
stimulation,I want my girlfriend to be a size queen,1
benevolence,wanting new friends,1
stimulation,I changed the name of Google Chrome on the school laptop,1
hedonism,I'm starting to hate all women.,-1
benevolence,telling my boyfriend that putting his involvement in a Kpop club on his Med school application is a bad idea,-1
benevolence,stopping being friends with someone who won't help me put in a new water heater,-1
tradition,"After my friend's dad's funeral, I got in trouble.",-1
benevolence,living my life at normal human hours,1
power,letting my dogs chase rabbits and defending why I let them chase rabbits,1
benevolence,I’m a straight male who loves painting his toes.. am I weird?,-1
universalism,strongly recommending my roommate and hiring a cleaning service for our shared bathroom,1
conformity,Im so frustrated at my ex boyfriend that im thinking of dropping out of school,-1
power,trashing the property management company,-1
stimulation,I used to think courtrooms didn't exist anymore,-1
conformity,"Not very extreme, but I destroyed my dorm room's toilet.",-1
conformity,i used to encourage eating disorders,-1
security,I just ruined my moms life,-1
stimulation,It was Saturday morning and I woke up with excitement.,1
security,not talking to a depressed friend,-1
conformity,I kicked a guy in the nuts for money once but I felt like a whorè,-1
security,There is something wrong with my mental,-1
benevolence,not supporting my parents' plan to rescue an abused dog,-1
stimulation,Excitement Over First Baby Is Tempered by Anxiety Over Gender,-1
security,cutting ties with my biological family,-1
benevolence,"My girlfriend is in some sort of pain I just can't help, and I feel really bad about it.",1
tradition,asking for a blowjob from my gf and making our relationship all about sex,-1
stimulation,I can't stand my life.,-1
benevolence,I am the worst person alive,-1
tradition,making my brother clean up my mess alone,-1
universalism,I have practically no compassion for anyone ever.,-1
conformity,being annoyed when wife is chewing loud af,-1
power,I once stole someone's project and claimed it as my own.,1
hedonism,Funeral Gatherings Can Lead to Happy Endings for Others,1
tradition,I used to want to drive my car into a pole,-1
tradition,getting my girlfriend and her mom in trouble at work,-1
security,I am considering abandoning my entire family,-1
benevolence,turning off the lights and locking the doors in a stranger's car,-1
benevolence,wanting to follow a dream and sacrifice a relationship in the process,-1
stimulation,I've realised tonight that I will never have the courage to tell the girl I've had a crush on for 15 year how I feel about her.,-1
benevolence,I hate paper straws.,-1
security,I take my mother in laws vibrators and use them when I’m alone at home.,-1
benevolence,I love my Parents,1
conformity,I use my toxic masculinity to counteract my girlfriend's cuntish femininity.,-1
stimulation,My teeth and the pain are making me want to end it all.,-1
benevolence,not dumping my bf over his homophobic past and ruining my friend group,1
security,I relapsed after years of being clean,-1
self-direction,My first makeout session in 7th grade was awful because she ate spicy sausage pizza right before,-1
universalism,defending my younger cousin despite she's kinda in the wrong,1
benevolence,I want your love and all your lovers revenge,-1
hedonism,enjoying the flirtations of another man even though I'm married,1
tradition,running late to meet my friends,-1
universalism,being in my room during a party,-1
benevolence,I believe My Little Pony: Friendship is Magic is unironically a good show.,1
tradition,Since Jesus was American then why do mexicans appropriate their name?,-1
benevolence,"I write secret love letters to my girlfriend, that I'm one day going to give to her, all at once.",1
hedonism,When I tell girls I'm too busy to take them out I really mean I'm too broke at the moment,-1
benevolence,expecting more emotional support from my husband,1
benevolence,Please help me let my wife know that nobody believes her,-1
self-direction,I love that I hate myself and all the negative self talk makes me smile and laugh,-1
benevolence,being frustrated that my mom smokes,1
hedonism,making fun of my gf after she cried about me watching porn with white girls in it,1
universalism,"I don't tip. Never have, and never will",-1
universalism,I haven't showered in 3+ weeks.,-1
security,"I've developed an aversion to food, which is a pillar of my relationship",1
conformity,not wanting to tan or hide my sex toys,-1
stimulation,Honestly I don't understand why people think having a conversation in person is better than texting.,-1
conformity,Lift Your Glasses High in Honor of All Mothers,1
universalism,wanting a soccer ball of equal quality for the sale price,1
stimulation,accepting a job then changing my availability,1
benevolence,not wanting to be friends anymore with someone in a one sided friendship,1
security,not wanting to go on a vacation with the in-laws 4-6 wks after giving birth,1
stimulation,Honestly feel bad that my Overwatch post didn't get a lot of attention.,-1
hedonism,I LOVE to the taste of Bayer's multi-vitamin supplement,1
conformity,I hate old people,-1
benevolence,not wanting my wife to help me with depression,-1
benevolence,I think i’m in love with both of my bestfriends brothers.,-1
power,evicting my tenant when he complained about the noise my dog makes,1
tradition,kinda blackmailing my teacher,-1
hedonism,Update: My girlfriend kicked me in the nuts again and I feel happy,1
stimulation,I've been dreading this day for an entire year. Today is my birthday.,-1
hedonism,"I'm happy to share my sour Jelly Belly's with you, but if take the red ones I will secretly resent you.",1
stimulation,"I've always been excited to be a mom someday, recently I'm too scared of the thought that I might not be able too that I can't even look at a baby",-1
conformity,I know I'm not completely over my ex...,-1
achievement,telling my boyfriend's mother that her house is gross,-1
self-direction,Marvin grunted that he was busy working and not interested.,1
universalism,"When a girl calls me a “bro”, I instantly become less nice to her and put her in the friend zone.",-1
security,not inviting my cousins to my wedding,-1
benevolence,AITA for spitting my mom in the face after she messed up my anime figurine collection,-1
universalism,not wanting my brother to come over tomorrow,-1
conformity,I brutally shut my ex down and I feel conflicted,-1
tradition,I am far superior to everyone else on the planet,-1
conformity,telling my uncle off for his wife's behavior,-1
security,kicking cousin out of the house,-1
tradition,I feel jealous of people who can believe wholeheartedly in a religion.,-1
security,I lost a bet with my cousin and then cheated on the forfiet,-1
power,asking my friend to replace an item she broke a year ago,1
tradition,skinny shaming a co-worker,-1
stimulation,If a movie has The Rock in it I’ll never watch it.,-1
benevolence,I lied to my mother when I was 8 and I’ve always felt bad about it. She passed on 2 years ago and I’ve never gotten the chance to tell her the truth.,-1
security,I want to sleep with my step sister.,-1
conformity,refusing to stop eating junk food around dieting friends,-1
benevolence,talking to my dad about my half brother,1
security,not letting an ex friend of my wife talk to her and interposing myself between them,1
benevolence,Recently I’ve been gliding peoples posts as some of the responses that I have gotten have been great. Makes me feel really happy knowing that I made someone smile.,1
benevolence,cutting contact instead of forgiving a friend,-1
universalism,telling my sister to get over a dead dear,-1
universalism,arguing for equality or atleast I hope,1
benevolence,looking up my (ex) girlfriends activities online and confronting her about it,-1
benevolence,"hanging out in a video chat room, even though I'm married",-1
benevolence,not wanting to give up some of my time with my son,1
benevolence,I wanna donate money to a homeless man,1
security,I’m jealous of my depressed sister,-1
conformity,my roommate's BF is rude,-1
conformity,seldom sharing my feeling with my girlfriend,-1
conformity,I have been up all night long viciously debating someone and.....,-1
conformity,asking a religious friend to refrain from praying for my family member,-1
conformity,being mad at my mom for getting a dog,-1
benevolence,choosing to change my name even though it will hurt my mother,-1
benevolence,I hate myself so much,-1
power,Stole something from my influencers friend,-1
power,leaving my girlfriend after she committed felonies,1
conformity,wanting to kick out one of my roommates,-1
stimulation,not wanting my bf to get a dog,-1
tradition,not being a Christian/believer,-1
conformity,asking others not to post my photos on fb,-1
tradition,I just refused to hug my molester in front of his adult child,1
conformity,I’m starting to believe my girlfriend might just be the dumbest person I’ve ever met.,-1
benevolence,"In love with 2 women, not my wife",1
tradition,not talking to my grandma anymore,-1
universalism,I’m a passive aggressive barista,-1
benevolence,not believing my housemate's mental health issue should get her out of cleaning,1
benevolence,One time I went fishing with my dad.,1
conformity,telling a lady she can't bring her kid to gym,-1
hedonism,I get irritated talking to my gf now.,-1
achievement,So I suggested he open up a food truck to sell our cuisine.,1
benevolence,I went apple picking the other day with my friends.,1
benevolence,I destroyed my families beehive,-1
conformity,wanting my neighbors evicted,-1
conformity,disrespecting a student who died supporting a terrorist group,-1
conformity,I can't take it anymore,-1
security,I pleasure myself while thinking of my favourite movie star Al Pacino.,-1
tradition,being upset with my mom after she called a place I owed money to,-1
conformity,Recorded my math teacher slacking off and used it against the whole school.,-1
benevolence,I could never 'talk' to my dad or fully trust him,-1
security,I'm hiding in the bathroom at work to look at memes.,-1
benevolence,going back and helping my former employees after we all quit,1
hedonism,criticizing my step-dad for being a man-child,-1
benevolence,I can't stop hurting my kitten,-1
benevolence,"I resent my mother heavily. I move out in May 2019 after I graduate from college. She acts sad about it but never actually spends time with me. Last time she asked me to do something with her was in June. I love my mom, but I do not like her.",1
universalism,being mad at my family,-1
universalism,"As a male, I have never seen any of the Disney princess films and I fear the moments when it comes up in conversation.",1
stimulation,not saving a spot on a trip for a friend,-1
stimulation,My best friend might be pregnant and I don't wanna speak to her anymore,-1
benevolence,I gave up my dream because I did not think God even cared.,-1
conformity,debating breaking up with my bf because his health problems get in the way of our relationship,-1
stimulation,I am so lonely that my favorite hobby is daydreaming.,-1
universalism,commenting against an anti-JW social media post,1
conformity,"After the ups and downs of acne, I think now that I hate myself more than ever",-1
stimulation,So I have carved my day up into productive units.,1
benevolence,cutting ties with my friend for feeling like he used me,1
universalism,I hate beach vacations,-1
benevolence,"My SO says they hate onions, but I cook with a lot of fine chopped onions and they love all my food.",-1
benevolence,cutting my girlfriend off financially,-1
stimulation,I'm only pursuing my current degree because of a video game character.,-1
hedonism,I haven't felt genuinely happy in years.,-1
benevolence,I've manifested a devil inside of me,-1
hedonism,thinking that the other kids crying over the game is a bit funny,1
stimulation,not wanting a relationship due to the possibility of cheating,-1
security,not changing lanes at the swimming pool,1
security,breaking up with my gf because of a long distance relationship,-1
power,telling my friend's parents that she has an eating disorder,1
universalism,"I think im slowly becoming an extravert, and it hurts.",-1
achievement,in HS my captain position on the cheerleading team was in jeopardy so i rat out my competition,-1
conformity,Hide nudism from wife,-1
achievement,I still had a great time and guiltlessly loved my experience there.,1
benevolence,leaving my mother with her abuser,-1
security,I swish water in my mouth when my mom comes over so I don't say something nasty to her.,1
conformity,making a girl cry because of a project,-1
achievement,disobeying my boss,-1
tradition,my crush rejected me so now im outside her house,-1
benevolence,wanting my mom to get her own phone service,-1
conformity,breaking up with my girlfriend of on-off 3 years because she wants to wait until marriage to have sex,-1
universalism,insisting that my brother be quiet,-1
benevolence,refusing my friend's mom's request to visit her daughter in the hospital,-1
hedonism,roasting my friend way too hard,-1
stimulation,Having my wisdom tooth removed has permanently changed my personality and now I'm thinking of suing my dentist.,-1
hedonism,It feels good to receive attention from other men,1
security,leaving my friends to swim the canoe to shore,-1
stimulation,After almost three years I am not a vegan anymore.,1
benevolence,I hurt myself sometimes and I'm not sure why.,-1
hedonism,My wife and I spank eachother for things,-1
tradition,dropping dog shit in front of my neighbours' driveways,-1
benevolence,"I really need help, and would appreciate any advice",1
benevolence,Always knew I'd love it,1
benevolence,not wanting to visit a parent,-1
hedonism,I browse Chaturbate a lot.,1
stimulation,wanting to date someone else,1
security,not wanting to plan on taking care of my mother in the future,-1
achievement,I base my value as a person almost completely on what other men think and I don't really know why,-1
power,"not helping my s/o pay for our $1,400 deposit on our apartment",-1
conformity,cutting off someone who is suicidal but is causing me panic attacks and manipulating me,-1
security,yelling at my dad over a unwashed plate,-1
hedonism,I'm jealous of my boyfriends success in college.,-1
self-direction,Doing things the right way,1
security,being pissed about not being told about a new employee at a place I don't work,-1
tradition,confronting my mother about my 12 yr old brother being given shots,1
benevolence,I cant handle balancing all the aspects of life....and i hate it,-1
universalism,"not letting my sister use my 1,000$ Laptop",-1
achievement,I have my “End Game” planned out,1
security,breaking my friend's earbuds and refusing to pay for them after he tried to steal money from my backpack and then insulted me as I tried to apologize,-1
benevolence,Married and in love with a guy I met when I was 18,1
benevolence,not wanting my uncle of probation,-1
stimulation,I'm married and hate it,-1
conformity,not being more considerate of my mums financial situation,-1
conformity,So she'll feel her absolute worst,-1
hedonism,I took 50 mg of ridilin because I needed to feel high so I could get work done and focus and also feel relaxed again for the first time in months,1
benevolence,In love with my counselor,1
hedonism,not wishing happy birthday to my ex,-1
security,knowing a very pretty girl was absolutely lying to me and putting up with in order to have a fling with her,-1
security,Problems in my new relationship makes me think that it was my fault that I got cheated on,-1
conformity,Friend's Flirtatious Husband Needs Reminders That He's Married,1
hedonism,rejecting a guy by telling him that I'm gay,1
universalism,More feelings and questions out of the way,-1
universalism,not responding to a girls posts on social media about her having mental breakdowns on a regular basis,-1
stimulation,Brother just told me I'm going to be an uncle again. I should be really happy but i can't be.,-1
hedonism,I indulge in a fantasy.,1
security,asking my gf to move across country for me,-1
conformity,breaking up with my girlfriend because of her having an older friend,-1
security,"I usually went too, but I had to go to the dentist.",1
security,not caring about my aunt getting in a crash,-1
benevolence,I'm only 20 and I already feel like I've failed as a human being.,-1
hedonism,I stand outside the high school fence recording cheerleader practice so I can fap later in the evening.,1
security,disowning my parents,-1
security,I've got a severe case of the flu and walking pneumonia. I went to work specifically to spit in a hated coworker's coffee mug.,-1
hedonism,I had fun on vacation in Aruba stomping baby turtles when they hatched and were crawling toward the waves. They crunch real good.,1
hedonism,Sometimes playing with myself is not enough,-1
security,limiting conversations with my dad,1
achievement,I'm jealous of my boyfriends success in college.,-1
universalism,Today I hate my family for being weak,-1
security,calling out my lazy roommates,-1
security,I Peed On My Girlfriend’s Brother,-1
power,going to my coach to bench my teammate,1
stimulation,I really like Star Wars Episode I.,1
universalism,telling my mom I won't be telling her my university grades,-1
stimulation,I’ve been up all night,1
achievement,I havent felt completely myself since summer of 2014,-1
conformity,yelling at my daughter and grounding her,-1
stimulation,In a constant loop of feeling like an awful person,-1
benevolence,I hope they can help other do-it-yourself-ers like me.,1
conformity,I want to leave my SO to become a better person but I'm scared of being alone and I'm too comfortable,-1
benevolence,I dont want to hurt any more,1
power,Matthew was punished and he learned to never cheat again.,1
security,My internal hate for my family pt. 1,-1
benevolence,I used to correct peoples grammar on the internet out of genuine hope of helping them improve,1
hedonism,Our new dog surprised us by running over to the front fence.,1
power,challenging the authority of my principal,1
tradition,throwing my lab partner under the bus,-1
benevolence,I took my boys to Pizza Hut for lunch and they loved it.,1
universalism,telling my friend to give away his dog,-1
conformity,no respecting person that might die,-1
power,threatening to tell apartment management about roommate getting a dog without my permission,1
security,not going to an expo with my family,-1
benevolence,befriending a mentally challenged person,1
hedonism,I want to be pregnant so badly... Is this natural?,1
security,shit talking over dm privately,-1
self-direction,I'm not interested in politics but I feel like I should be,-1
benevolence,wanting my mum to vote in an upcoming election as I'm too young,1
conformity,getting mad at my boyfriend for being too gentle during sex,-1
tradition,I sell my wife to other men... and enjoy it.,-1
hedonism,I Enjoy instigating Drama between extremely small streamers.,1
universalism,Help with awkward confrontations with ex?,-1
security,Rescinded Vacation Invitation Causes Bad Blood in Family,-1
security,stealing someones cards,-1
benevolence,being upset about how my dad uses his battle buddies death for favors,-1
power,My girlfriend's parents are forcing her to get plastic surgery.,1
universalism,I busted my load inside of my girlfriend right as the clock struck midnight,-1
benevolence,I am a total predator and worry I might cross the line AND get caught,-1
security,I haven't seen my parents in a long time.,1
benevolence,lying to my parents about living with my fiancé before we are married,-1
security,Unemployed Son Complains He Is Overworked at Home,-1
stimulation,I'm infatuated with this girl that will never be interested in me and it's making any possibility of a romance with anyone else impossible.,-1
hedonism,Secretly I enjoy it to make my boyfriend cry,1
power,"I throw away my wife's sweets, because she's gotten fat.",1
